Name,Normal Price (USD),Discounted Price (USD),Discount percentage (%),Rating (out of 5 stars),Review Count,Url
"Aurasound Wireless Earphones, Bluetooth Earbuds Noise Cancelling, TWS Earbuds with 13mm driver/30H Playtime/Music&Game Dual Mode, in-Ear Lightweight Earbuds for iOS/Android（Black）",14.99,14.99,0,3.7,47,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A08610343HW08PUIJBAU&url=%2FAurasound-FUNbuds-Headphones-Lightweight-Android%25EF%25BC%2588Black%25EF%25BC%2589%2Fdp%2FB09KGS36DT%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dtws%26qid%3D1656433430%26s%3Daht%26sr%3D1-1-spons%26psc%3D1&qualifier=1656433430&id=5886059493908647&widgetName=sp_atf
Riotcats TWS Mini Sports (Black),69.0,69.0,0,0,0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A01774442F2HZ86FVRR3X&url=%2FRiotcats-TWS-Mini-Sports-Black%2Fdp%2FB09J66PT8K%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dtws%26qid%3D1656433430%26s%3Daht%26sr%3D1-2-spons%26psc%3D1&qualifier=1656433430&id=5886059493908647&widgetName=sp_atf
"EDIFIER 330NB Hybrid Active Noise Cancelling TWS Wireless Earbuds, ANC Bluetooth Earbuds, AI Phone Call Moise Cancellation, IP54 Waterproof, Quick Charge, Deep Bass, White",79.99,79.99,0,4.0,56,https://www.amazon.com/Cancelling-Wireless-Bluetooth-Cancellation-Waterproof/dp/B09571N6NM/ref=sr_1_3?keywords=tws&qid=1656433430&s=aht&sr=1-3
"EDIFIER 330NB Hybrid Active Noise Cancelling TWS Wireless Earbuds, ANC Bluetooth Earbuds, AI Phone Call Noise Cancellation, IP54 Waterproof, Quick Charge, Deep Bass, Black",79.99,79.99,0,3.9,101,https://www.amazon.com/Cancelling-Wireless-Bluetooth-Cancellation-Waterproof/dp/B09574CNWB/ref=sr_1_4?keywords=tws&qid=1656433430&s=aht&sr=1-4
"LG TONE Free FP5 - Enhanced Active Noise Cancelling True Wireless Bluetooth Earbuds (TWS) with Meridian Sound, Immersive 3D Sound, 3 Mics, 22 Hrs playtime",129.99,66.99,48.0,4.2,457,https://www.amazon.com/LG-TONE-Free-FP5-Cancelling/dp/B09D2VM367/ref=sr_1_5?keywords=tws&qid=1656433430&s=aht&sr=1-5
"Wireless Earbuds, Hybrid Active Noise Cancelling TWS Earphones, Bluetooth 5.2 Headphones, in-Ear Detection, 25H Playtime, IPX7 Waterproof, Ambient Mode, Black",29.99,29.99,0,5.0,6,https://www.amazon.com/Cancelling-Earphones-Bluetooth-Headphones-Waterproof/dp/B09JGF47LH/ref=sr_1_6?keywords=tws&qid=1656433430&s=aht&sr=1-6
"Gravastar Sirius Pro Wireless Earbuds, Bluetooth TWS Earbuds with 16 Hours Playtime, Deep Bass 3D Stereo, Headphones for iPhone/Android(Space Gray)…",129.95,129.95,0,3.9,185,https://www.amazon.com/Gravastar-Wireless-Bluetooth-Playtime-Headphones/dp/B09FYTNCDK/ref=sr_1_7?keywords=tws&qid=1656433430&s=aht&sr=1-7
"I12 TWS Wireless Earbuds,Bluetooth 5.0 Earbuds Touch in-Ear Wireless Earphones,24 Hours Play Time with Charging Case,hi-fi Stereo Earbuds",13.88,12.99,6.0,3.6,340,https://www.amazon.com/Wireless-Earbuds-Bluetooth-Earphones-Charging/dp/B0921JQPGS/ref=sr_1_8?keywords=tws&qid=1656433430&s=aht&sr=1-8
"SUNTON M10 TWS Bluetooth Earbuds Wireless Earbuds Bluetooth 5.1 Headphones Wireless Earphones, Stereo IPX7 Waterproof Wireless Earphones with 2000mah LED Display Charging Case/Box, Black",29.88,29.88,0,4.1,74,https://www.amazon.com/Bluetooth-Wireless-Headphones-Earphones-Waterproof/dp/B08PB69MZ8/ref=sr_1_9?keywords=tws&qid=1656433430&s=aht&sr=1-9
"Sport in-Ear TWS Headphone APEKX True Wireless Bluetooth 5.1 Sports Earphone, IPX7 Waterproof Stereo Sound, Built-in Mic Earphones for Sports Gym Workouts(Black)",34.99,34.99,0,4.2,5859,https://www.amazon.com/Ergonomic-Headphones-APEKX-Waterproof-Supporting/dp/B07XFMHQDP/ref=sr_1_10?keywords=tws&qid=1656433430&s=aht&sr=1-10
